{'deploy': True, 'tag': 'minLM', 'run_name': 'run2', 'seed': 0, 'device': 'cuda:0', 'total_iters': 600000, 'data': {'bs': 32, 'tokenizer': 'openai-community/gpt2', 'subsample': 1.0, 'min_len': 0, 'nworkers': 2}, 'net': {'compile': True, 'vocab_size': 50258, 'context_size': 512, 'n_layer': 12, 'n_head': 12, 'n_embd': 1080, 'dropout': 0.0, 'bias': False}, 'optimizer': {'learning_rate': 0.0003, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'grad_accumulation': 40, 'ignore_eos': False, 'use_scaler': True, 'warmup_iters': 0, 'decay_lr': True, 'min_lr': 3e-05}, 'log': {'eval_interval': 5000, 'log_interval': 500, 'save_interval': 50000}}
num decayed parameter tensors: 50, with 222,793,200 parameters
num non-decayed parameter tensors: 25, with 27,000 parameters
using fused AdamW: True
Iter 0 | Perplexity: 57534.89453125
Epoch 0.0
Iter 0 | LR: 0.0003 | Loss: inf
Iter 500 | LR: 0.0002999995373625579 | Loss: 4.33106505960226
Iter 1000 | LR: 0.00029999814945340256 | Loss: 1.984347048401834
Iter 1500 | LR: 0.0002999958362820466 | Loss: 1.9295388098061088
Iter 2000 | LR: 0.0002999925978643441 | Loss: 1.9285260424017905
Iter 2500 | LR: 0.0002999884342224909 | Loss: 1.9112696874141686
Iter 3000 | LR: 0.00029998334538502416 | Loss: 1.9068046119809152
Iter 3500 | LR: 0.00029997733138682216 | Loss: 1.8788770967721948
Iter 4000 | LR: 0.0002999703922691041 | Loss: 1.8087200362980362
Iter 4500 | LR: 0.00029996252807943004 | Loss: 1.764950222969057
Iter 5000 | Perplexity: 702.6207275390625
Iter 5000 | LR: 0.0002999537388717002 | Loss: 1.7310203944146634
Iter 5500 | LR: 0.00029994402470615483 | Loss: 1.7053998030722137
Iter 6000 | LR: 0.00029993338564937377 | Loss: 1.6657404366135604
Iter 6500 | LR: 0.00029992182177427583 | Loss: 1.6340673534572112
Iter 7000 | LR: 0.00029990933316011853 | Loss: 1.6130651298165295
Iter 7500 | LR: 0.00029989591989249757 | Loss: 1.597042018771172
Iter 8000 | LR: 0.00029988158206334587 | Loss: 1.5697594234347358
Iter 8500 | LR: 0.0002998663197709333 | Loss: 1.5513446091115484
Iter 9000 | LR: 0.00029985013311986593 | Loss: 1.529548524469138
Iter 9500 | LR: 0.00029983302222108527 | Loss: 1.5213101173937305
Iter 10000 | Perplexity: 299.27020263671875
Iter 10000 | LR: 0.00029981498719186745 | Loss: 1.5064132517576214
Iter 10500 | LR: 0.00029979602815582263 | Loss: 1.4934482705593117
Iter 11000 | LR: 0.0002997761452428938 | Loss: 1.4805821216106427
Iter 11500 | LR: 0.00029975533858935633 | Loss: 1.4714934344589703
Iter 12000 | LR: 0.00029973360833781664 | Loss: 1.442673989236354
Iter 12500 | LR: 0.0002997109546372114 | Loss: 1.4556182304024707
Iter 13000 | LR: 0.0002996873776428067 | Loss: 1.4244513352215282
Iter 13500 | LR: 0.00029966287751619644 | Loss: 1.4109829099476345
Iter 14000 | LR: 0.0002996374544253018 | Loss: 1.4121571379899989
Iter 14500 | LR: 0.0002996111085443698 | Loss: 1.39931678265333
Iter 15000 | Perplexity: 174.74215698242188
Iter 15000 | LR: 0.00029958384005397226 | Loss: 1.383252350836993
Iter 15500 | LR: 0.0002995556491410042 | Loss: 1.3728891940414902
Iter 16000 | LR: 0.00029952653599868304 | Loss: 1.3498102194070816
Iter 16500 | LR: 0.00029949650082654707 | Loss: 1.3472000223398204
Iter 17000 | LR: 0.0002994655438304539 | Loss: 1.3284450882673264
Iter 17500 | LR: 0.0002994336652225793 | Loss: 1.3229317851364621
Iter 18000 | LR: 0.0002994008652214158 | Loss: 1.3023788906633842
Iter 18500 | LR: 0.0002993671440517708 | Loss: 1.3113701154291613
Iter 19000 | LR: 0.00029933250194476556 | Loss: 1.285526741594076
Iter 19500 | LR: 0.00029929693913783304 | Loss: 1.2861124214530002
Iter 20000 | Perplexity: 117.73754119873047
Iter 20000 | LR: 0.00029926045587471686 | Loss: 1.2773259483277781
Iter 20500 | LR: 0.00029922305240546917 | Loss: 1.2678406596183787
Iter 21000 | LR: 0.00029918472898644925 | Loss: 1.2644049473106864
Iter 21500 | LR: 0.0002991454858803214 | Loss: 1.2509791129827494
Iter 22000 | LR: 0.0002991053233560535 | Loss: 1.243215794861317
Iter 22500 | LR: 0.00029906424168891506 | Loss: 1.2233213716745375
Iter 23000 | LR: 0.00029902224116047513 | Loss: 1.217629520446061
Iter 23500 | LR: 0.0002989793220586007 | Loss: 1.2194856570661063
Iter 24000 | LR: 0.0002989354846774545 | Loss: 1.2133284053206437
Iter 24500 | LR: 0.00029889072931749296 | Loss: 1.19927229821682
Iter 25000 | Perplexity: 86.05795288085938
Iter 25000 | LR: 0.0002988450562854644 | Loss: 1.200621688961983
Iter 25500 | LR: 0.00029879846589440657 | Loss: 1.191852347850801
Iter 26000 | LR: 0.00029875095846364485 | Loss: 1.1745850682258603
Iter 26500 | LR: 0.00029870253431878987 | Loss: 1.1628311464190477
Epoch 1.0
Iter 27000 | LR: 0.0002986531937917352 | Loss: 1.171443372666836
Iter 27500 | LR: 0.0002986029372206555 | Loss: 1.1490635235607627
Iter 28000 | LR: 0.00029855176495000344 | Loss: 1.1398044250905508
Iter 28500 | LR: 0.0002984996773305081 | Loss: 1.1455183221399783
Iter 29000 | LR: 0.00029844667471917225 | Loss: 1.1378471875190743
Iter 29500 | LR: 0.0002983927574792698 | Loss: 1.1328621941804884
Iter 30000 | Perplexity: 69.14907836914062
Iter 30000 | LR: 0.0002983379259803436 | Loss: 1.1201645053923133
Iter 30500 | LR: 0.0002982821805982024 | Loss: 1.1227946564555158
Iter 31000 | LR: 0.00029822552171491893 | Loss: 1.1139368884265421
Iter 31500 | LR: 0.00029816794971882686 | Loss: 1.1024473811686046
Iter 32000 | LR: 0.00029810946500451814 | Loss: 1.1060689543187618
Iter 32500 | LR: 0.00029805006797284047 | Loss: 1.0911087070405476
Iter 33000 | LR: 0.0002979897590308944 | Loss: 1.088014624714852
Iter 33500 | LR: 0.0002979285385920308 | Loss: 1.0868846593797212
Iter 34000 | LR: 0.0002978664070758476 | Loss: 1.0680630360543737
Iter 34500 | LR: 0.00029780336490818735 | Loss: 1.0894293825328343
Iter 35000 | Perplexity: 56.228607177734375
Iter 35000 | LR: 0.0002977394125211339 | Loss: 1.0579301387071611
Iter 35500 | LR: 0.0002976745503530097 | Loss: 1.0709128668904302
Iter 36000 | LR: 0.000297608778848373 | Loss: 1.0636539605259894
Iter 36500 | LR: 0.00029754209845801407 | Loss: 1.0580641935765749
Iter 37000 | LR: 0.00029747450963895305 | Loss: 1.057947481274606
Iter 37500 | LR: 0.0002974060128544361 | Loss: 1.0442017236351964
Iter 38000 | LR: 0.00029733660857393245 | Loss: 1.0470274476706969
Iter 38500 | LR: 0.00029726629727313126 | Loss: 1.031309910416603
Iter 39000 | LR: 0.00029719507943393837 | Loss: 1.0377000473439695
Iter 39500 | LR: 0.00029712295554447284 | Loss: 1.0287446957081563
Iter 40000 | Perplexity: 48.349361419677734
Iter 40000 | LR: 0.0002970499260990637 | Loss: 1.016844013631344
Iter 40500 | LR: 0.00029697599159824676 | Loss: 1.0196702504158028
Iter 41000 | LR: 0.0002969011525487606 | Loss: 1.0217238807678224
Iter 41500 | LR: 0.00029682540946354376 | Loss: 1.0124487937986837
Iter 42000 | LR: 0.00029674876286173087 | Loss: 1.0085126647353175
Iter 42500 | LR: 0.0002966712132686492 | Loss: 1.0017420774698258
Iter 43000 | LR: 0.0002965927612158149 | Loss: 1.0034952619671818
Iter 43500 | LR: 0.00029651340724092966 | Loss: 1.0028035753965376
Iter 44000 | LR: 0.0002964331518878766 | Loss: 0.9969743086397652
Iter 44500 | LR: 0.00029635199570671704 | Loss: 0.9929362859576939
Iter 45000 | Perplexity: 42.4760627746582
Iter 45000 | LR: 0.0002962699392536863 | Loss: 0.9894455854594699
Iter 45500 | LR: 0.00029618698309119015 | Loss: 0.9864290173351759
Iter 46000 | LR: 0.00029610312778780083 | Loss: 0.9920499658584595
Iter 46500 | LR: 0.0002960183739182532 | Loss: 0.9959193475544449
Iter 47000 | LR: 0.0002959327220634408 | Loss: 0.9746631091833118
