{'deploy': True, 'tag': 'minLM', 'run_name': 'run4', 'seed': 0, 'device': 'cuda:0', 'total_iters': 155000, 'data': {'bs': 2, 'tokenizer': 'openai-community/gpt2', 'subsample': 1.0, 'min_len': 5, 'nworkers': 2, 'title': True}, 'net': {'compile': True, 'vocab_size': 50258, 'context_size': 512, 'n_layer': 20, 'n_head': 12, 'n_embd': 2040, 'bias': False}, 'optimizer': {'learning_rate': 0.0003, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'grad_accumulation': 400, 'ignore_eos': False, 'use_scaler': True, 'warmup_iters': 0, 'decay_lr': True, 'min_lr': 0.0001}, 'log': {'eval_interval': 5000, 'log_interval': 500, 'save_interval': 50000}}
obuxl60u
Number of rows in train dataset: 1156952
Number of rows in test dataset: 2859
num decayed parameter tensors: 82, with 1,102,354,800 parameters
num non-decayed parameter tensors: 41, with 83,640 parameters
using fused AdamW: True
Iter 0 | Perplexity: 69935.375
Epoch 0.0
Iter 0 | LR: 0.0003 | MFU: 0.2585853015569374 | time 86.92s | Loss: inf
Iter 500 | LR: 0.00029999486497402035 | MFU: 0.2808043835633288 | time 46.75s | Loss: 9.09716190407053
Iter 1000 | LR: 0.00029997946042345123 | MFU: 0.3064987356811265 | time 41.80s | Loss: 16.39865557882003
Iter 1500 | LR: 0.00029995378793034813 | MFU: 0.32965445317862213 | time 41.77s | Loss: 16.25253271264956
Iter 2000 | LR: 0.0002999178501312892 | MFU: 0.3504083941853641 | time 41.84s | Loss: 10.648858405323704
Iter 2500 | LR: 0.00029987165071710526 | MFU: 0.36916596553315767 | time 41.78s | Loss: 6.88087453991175
Iter 3000 | LR: 0.0002998151944325001 | MFU: 0.3859778908089405 | time 41.83s | Loss: 3.755743903852993
Iter 3500 | LR: 0.00029974848707556344 | MFU: 0.4011010177682397 | time 41.84s | Loss: 2.3569219216005868
Iter 4000 | LR: 0.0002996715354971755 | MFU: 0.4146423298125298 | time 41.89s | Loss: 2.2471897138282664
Iter 4500 | LR: 0.00029958434760030345 | MFU: 0.4269359928458968 | time 41.81s | Loss: 2.129363621817901
Iter 5000 | Perplexity: 5849.33203125
