/home/ubuntu/micromamba/envs/minLM/lib/python3.12/site-packages/huggingface_hub/file_download.py:1150: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Number of rows in train dataset: 1165029
Number of rows in test dataset: 2891
num decayed parameter tensors: 50, with 222,793,200 parameters
num non-decayed parameter tensors: 25, with 27,000 parameters
using fused AdamW: True
Iter 0 | Perplexity: 57534.78515625
Epoch 0.0
Iter 0 | LR: 0.0003 | MFU: 0.04776321498834135 | time 116.35s | Loss: inf
Iter 500 | LR: 0.00029999829789716684 | MFU: 0.04559282587934464 | time 213.25s | Loss: 2.7546225434541713
Iter 1000 | LR: 0.00029999319163502184 | MFU: 0.04367448992682978 | time 210.42s | Loss: 1.4899507293105119
Iter 1500 | LR: 0.0002999846813526272 | MFU: 0.04194841188409925 | time 210.38s | Loss: 1.4601376521587373
Iter 2000 | LR: 0.00029997276728174885 | MFU: 0.040394628723819846 | time 210.41s | Loss: 1.4474813896417633
Iter 2500 | LR: 0.00029995744974685044 | MFU: 0.03899634613688156 | time 210.40s | Loss: 1.441937462836505
Iter 3000 | LR: 0.00029993872916508424 | MFU: 0.037737692002761086 | time 210.42s | Loss: 1.4452453878521918
Iter 3500 | LR: 0.0002999166060462799 | MFU: 0.0366051921955644 | time 210.39s | Loss: 1.4449454626441
Iter 4000 | LR: 0.00029989108099293067 | MFU: 0.03558560471848181 | time 210.42s | Loss: 1.4189796203374867
Iter 4500 | LR: 0.00029986215470017674 | MFU: 0.03466837599049913 | time 210.39s | Loss: 1.371525204926729
Iter 5000 | Perplexity: 704.1739501953125
Iter 5000 | LR: 0.0002998298279557865 | MFU: 0.03347762641921905 | time 244.15s | Loss: 1.3201309147477152
Iter 5500 | LR: 0.0002997941016401351 | MFU: 0.03277098233860635 | time 210.40s | Loss: 1.3008153654634949
Iter 6000 | LR: 0.00029975497672618035 | MFU: 0.032134868815641 | time 210.42s | Loss: 1.2773148080706591
Iter 6500 | LR: 0.0002997124542794362 | MFU: 0.03156262196215602 | time 210.40s | Loss: 1.2498485473543415
Iter 7000 | LR: 0.0002996665354579439 | MFU: 0.031047284299893854 | time 210.42s | Loss: 1.2491118607670064
Iter 7500 | LR: 0.0002996172215122404 | MFU: 0.03058357649376623 | time 210.41s | Loss: 1.2114524307101966
Iter 8000 | LR: 0.0002995645137853243 | MFU: 0.030166122513055175 | time 210.42s | Loss: 1.2198497588187456
Iter 8500 | LR: 0.00029950841371261894 | MFU: 0.029790713556811788 | time 210.40s | Loss: 1.1823726636171334
Iter 9000 | LR: 0.0002994489228219339 | MFU: 0.029452397392557138 | time 210.43s | Loss: 1.1894136998057354
Iter 9500 | LR: 0.000299386042733423 | MFU: 0.02914822950143861 | time 210.41s | Loss: 1.1619389586895703
Iter 10000 | Perplexity: 317.2704772949219
